cells,samples,cell.types,treatment.group,Cohort,no.of.genes,no.of.reads,genes_detected_counts,n_counts
cy102_CD45pos_S120,Mel102,T.CD8,post.treatment,New,7477,1383440,7326,14953.844049756004
Cy72_CD45_D09_S717_comb,Mel72,T.cell,post.treatment,Tirosh,2826,58112,2595,8079.286114333667
CY88CD45_150813_D05_S329_comb,Mel88,T.cell,post.treatment,Tirosh,3485,203224,3262,8448.652047422358
cy53_1_CD45_pos_2_F07_S1027_comb,Mel53,T.CD4,treatment.naive,Tirosh,4076,88319,3873,10914.727128239923
cy53_1_CD45_pos_2_F04_S1024_comb,Mel53,T.CD4,treatment.naive,Tirosh,4786,146175,4600,11022.276491573024
cy79_p5_CD45_pos_PD1_pos_A02_S578_comb,Mel79,T.CD8,treatment.naive,Tirosh,2876,50803,2707,9348.581055256576
cy129PA_CD45pos_S52,Mel129pa,Macrophage,treatment.naive,New,5647,769898,5449,11060.667735391624
cy88_cd_45_pos_3_F01_S637_comb,Mel88,Macrophage,post.treatment,Tirosh,4761,216421,4556,11804.675497522472
merck_cd45pos_PL3_S362,Mel194,T.CD8,post.treatment,New,4795,716348,4624,9546.056292359743
cy106_CD45pos_S333,Mel106,T.CD8,post.treatment,New,4841,946595,4692,8873.68723449081
Cy72_CD45_E12_S732_comb,Mel72,T.CD8,post.treatment,Tirosh,3415,117288,3209,8213.035002345525
cy98_CD45pos_2_S344,Mel98,T.CD8,post.treatment,New,3521,254695,3340,8610.972335656372
cy105_CD45pos_calceinpos_S66,Mel105,T.cell,treatment.naive,New,3608,457265,3430,6443.78727630538
cy103_CD45pos_S121,Mel103,T.CD8,treatment.naive,New,5144,648012,4986,10400.30033503702
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F07_S451_comb,Mel79,T.cell,treatment.naive,Tirosh,2548,21524,2418,9511.604417983144
MGH00478_CD45pos_2_S302,Mel478,B.cell,treatment.naive,New,3125,493794,2948,5286.084259164867
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C05_S509_comb,Mel79,B.cell,treatment.naive,Tirosh,3516,57513,3331,10385.737609698539
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_B07_S403_comb,Mel79,T.cell,treatment.naive,Tirosh,2496,10658,2393,9680.347928087645
cy105_CD45pos_calceinpos_S61,Mel105,T.CD8,treatment.naive,New,4316,759883,4165,7527.723209095062
cy105_CD45pos_calceinpos_S29,Mel105,T.CD4,treatment.naive,New,4041,620167,3877,7199.074086976124
merck_cd45pos_PL3_S327,Mel194,T.CD8,post.treatment,New,3779,341779,3585,8156.926474290842
CY94CD45POS_1_F08_S164_comb,Mel94,B.cell,post.treatment,Tirosh,3496,108532,3278,9255.926490142943
cy112_CD45pos_S58,Mel112,B.cell,treatment.naive,New,4534,1619425,4407,6772.370798182716
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_A02_S194_comb,Mel79,T.CD4,treatment.naive,Tirosh,2164,9756,2057,9242.351401296979
cy98_CD45pos_1_S219,Mel98,T.CD8,post.treatment,New,5285,1729435,5142,9973.006192505381
cy112_CD45pos_S295,Mel112,B.cell,treatment.naive,New,5716,816780,5612,11068.218639986702
cy60_1_cd_45_pos_3_G04_S364_comb,Mel60,T.cell,post.treatment,Tirosh,3596,116482,3383,10403.74084363255
cy126_CD45pos_1_S30,Mel126,T.CD8,post.treatment,New,4856,696704,4690,10139.875461276386
Cy71_CD45_G06_S558_comb,Mel71,T.CD4,treatment.naive,Tirosh,3168,139453,2966,8851.560434415278
cy53_1_CD45_pos_2_H04_S1048_comb,Mel53,T.CD4,treatment.naive,Tirosh,5063,432516,4868,9852.336712353945
cy121.1_CD45pos_S295,Mel121.1,T.CD4,post.treatment,New,4632,745364,4483,8190.432118622499
cy75_1B_CD45pos_S70,Mel75,T.cell,post.treatment,New,4748,590398,4568,8504.13538297567
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_G08_S464_comb,Mel79,T.CD4,treatment.naive,Tirosh,4244,84602,4051,12208.840625280289
CY75_1_CD45_CD8_7__S285_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5425,505285,5270,12277.825459602445
MGH00478_CD45pos_2_S361,Mel478,B.cell,treatment.naive,New,3721,629292,3508,6780.223670476758
cy106_CD45pos_S365,Mel106,T.CD8,post.treatment,New,5234,1395295,5094,9525.58128267236
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E02_S530_comb,Mel79,B.cell,treatment.naive,Tirosh,2843,22256,2673,10129.936076973423
cy60_1_cd_45_pos_4_C04_S28_comb,Mel60,T.CD8,post.treatment,Tirosh,3096,74225,2870,9488.320707924153
cy102_CD45pos_S127,Mel102,T.CD4,post.treatment,New,5196,626800,5039,10770.13536314251
cy84_Primary_CD45_pos_E10_S442_comb,Mel84,B.cell,treatment.naive,Tirosh,4624,263614,4422,11120.811073760822
CY89A_CD45_POS_6_F10_S166_comb,Mel89,T.CD8,treatment.naive,Tirosh,2934,111303,2712,7937.832571598318
cy116_CD45pos_S349,Mel116,T.CD8,treatment.naive,New,4884,649651,4671,9919.465997323408
Cy72_CD45_C07_S703_comb,Mel72,T.cell,post.treatment,Tirosh,3309,216636,3104,7197.4011726400895
cy106_CD45pos_S345,Mel106,B.cell,post.treatment,New,4708,1056298,4566,7744.573924882732
CY75_1_CD45_CD8_8__S312_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,6746,172019,6618,17970.5288197507
cy79_p4_CD45_pos_PD1_pos_A10_S298_comb,Mel79,T.CD8,treatment.naive,Tirosh,2172,81598,1974,6038.615622157515
cy82_CD45_pos_3_A03_S3_comb,Mel82,?,treatment.naive,Tirosh,2967,56984,2901,8834.615527365377
cy116_CD45pos_S356,Mel116,T.cell,treatment.naive,New,3695,316029,3499,7250.156809314631
Cy72_CD45_C05_S701_comb,Mel72,T.cell,post.treatment,Tirosh,3158,188477,2928,7345.305485058556
cy94_cd45pos_C03_S123_comb,Mel94,B.cell,post.treatment,Tirosh,4589,762680,4417,7678.658321653973
CY75_1_CD45_CD8_7__S288_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4004,405057,3832,8632.93186986983
cy58_1_CD45_pos_G11_S659_comb,Mel58,NK,post.treatment,Tirosh,2978,38711,2764,9190.985457031082
cy72_CD45_pos_H11_S959_comb,Mel72,T.CD4,post.treatment,Tirosh,3344,85794,3137,8963.033485474038
cy121.1_CD45pos_S292,Mel121.1,T.cell,post.treatment,New,6362,608309,6261,13665.102456810608
CY75_1_CD45_CD8_3__S186_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,1809,201303,1729,6664.269947164223
cy126_CD45pos_1_S46,Mel126,T.CD8,post.treatment,New,4319,580705,4148,8393.640951029281
cy116_CD45pos_S313,Mel116,B.cell,treatment.naive,New,4739,639411,4595,9040.18447706112
cy116_CD45pos_S362,Mel116,B.cell,treatment.naive,New,4526,221718,4313,9320.847181522351
cy94_cd45pos_4_D12_S48_comb,Mel94,B.cell,post.treatment,Tirosh,5380,939650,5270,9874.0493122097
cy60_1_cd_45_pos_3_H12_S384_comb,Mel60,T.CD8,post.treatment,Tirosh,4912,171899,4710,14006.200959365367
cy102_CD45pos_S282,Mel102,T.cell,post.treatment,New,4706,624361,4509,9474.559520916548
cy98_CD45pos_CD8pos_S59,Mel98,T.CD8,post.treatment,New,5137,712897,4990,10268.055772958149
cy103_CD45pos_S185,Mel103,T.CD8,treatment.naive,New,5719,618651,5538,11432.881526978254
cy80_CD45_pos_PD1_pos_G04_S172_comb,Mel80,NK,treatment.naive,Tirosh,2733,36045,2583,9202.365064771355
cy105_CD45pos_S195,Mel105,T.CD4,treatment.naive,New,4215,218598,4044,9584.209873918293
Cy72_CD45_G01_S745_comb,Mel72,T.cell,post.treatment,Tirosh,2442,38571,2223,7410.216728233225
cy112_CD45pos_S47,Mel112,B.cell,treatment.naive,New,4176,867636,4027,6617.9322259038
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C06_S222_comb,Mel79,T.cell,treatment.naive,Tirosh,4671,71557,4458,12949.525554386964
CY75_1_CD45_CD8_3__S156_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4988,299051,4819,11424.950022736139
CY94CD45POS_1_A01_S97_comb,Mel94,T.CD4,post.treatment,Tirosh,2614,31942,2425,9199.730146962067
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D01_S229_comb,Mel79,T.CD8,treatment.naive,Tirosh,3305,44082,3107,10608.543337591786
Cy74_CD45_C06_S414_comb,Mel74,T.CD8,post.treatment,Tirosh,2891,138978,2687,7121.554984260834
cy80_Cd45_pos_Pd1_neg_S267_D03_S267_comb,Mel80,B.cell,treatment.naive,Tirosh,4007,78283,3759,10490.52593862756
cy105_CD45pos_S252,Mel105,T.CD4,treatment.naive,New,4258,265889,4045,9182.590332753842
cy80_CD45_pos_PD1_pos_E10_S154_comb,Mel80,T.CD4,treatment.naive,Tirosh,4374,167232,4155,10882.316593242245
cy53_1_CD45_pos_1_D09_S45_comb,Mel53,T.CD4,treatment.naive,Tirosh,3993,107125,3753,10087.662520167189
cy116_CD45pos_S310,Mel116,T.cell,treatment.naive,New,3593,293894,3377,6249.443698378512
cy84_Met_CD45_pos_A01_S865_comb,Mel84,Macrophage,treatment.naive,Tirosh,3882,332256,3679,9555.10515207076
cy116_CD45pos_S373,Mel116,T.cell,treatment.naive,New,3525,588972,3335,5305.1351750138165
cy60_1_cd_45_pos_4_E01_S49_comb,Mel60,Macrophage,post.treatment,Tirosh,3666,114455,3510,10796.36383993172
cy60_1_cd_45_pos_4_A10_S10_comb,Mel60,B.cell,post.treatment,Tirosh,3084,65129,2895,9823.947680958869
CY88CD45POS_7_D02_S230_comb,Mel88,T.CD8,post.treatment,Tirosh,4282,349370,4072,8277.44210473659
cy128_CD45pos_S136,Mel128,B.cell,treatment.naive,New,4345,1053776,4182,6913.459553260389
cy103_CD45pos_S172,Mel103,T.CD8,treatment.naive,New,4901,600928,4721,9577.925667373285
cy88_cd_45_pos_B11_S407_comb,Mel88,B.cell,post.treatment,Tirosh,2103,53150,1948,6161.399258330441
CY88CD45POS_2_B05_S401_comb,Mel88,T.CD4,post.treatment,Tirosh,4815,415174,4643,10493.586914014457
cy60_1_cd_45_pos_4_A11_S11_comb,Mel60,B.cell,post.treatment,Tirosh,3302,68748,3102,10011.377824458323
MGH00478_CD45pos_1_S252,Mel478,T.CD8,treatment.naive,New,4506,686275,4342,8959.607916138817
MGH00478_CD45pos_1_S198,Mel478,T.CD8,treatment.naive,New,4053,500499,3878,8178.997995538373
cy53_1_CD45_pos_1_A09_S9_comb,Mel53,NK,treatment.naive,Tirosh,5575,292225,5383,12661.733020012543
cy103_CD45pos_S115,Mel103,Macrophage,treatment.naive,New,4313,653725,4091,9503.721137730667
cy128_CD45pos_S116,Mel128,B.cell,treatment.naive,New,4716,1017799,4540,8762.110696302174
Cy81_FNA_CD45_F10_S262_comb,Mel81,T.CD8,treatment.naive,Tirosh,3456,336854,3242,7237.114527445997
cy121.1_CD45pos_S348,Mel121.1,T.cell,post.treatment,New,5240,387341,5119,10273.593482565713
Cy74_CD45_B06_S402_comb,Mel74,T.CD4,post.treatment,Tirosh,2796,130142,2605,7767.186513275097
cy79_p5_CD45_pos_PD1_pos_C01_S601_comb,Mel79,T.CD8,treatment.naive,Tirosh,4729,367597,4527,10762.650339158445
cy106_CD45pos_S210,Mel106,B.cell,post.treatment,New,4253,855822,4102,6907.740148584568
MGH00478_CD45pos_1_S261,Mel478,B.cell,treatment.naive,New,3795,492902,3597,6932.693665795097
cy88_cd_45_pos_D02_S422_comb,Mel88,T.CD8,post.treatment,Tirosh,2421,55103,2242,7827.1182332979815
cy72_CD45_pos_A08_S872_comb,Mel72,T.cell,post.treatment,Tirosh,3468,127108,3224,8930.451244524587
cy80_CD45_neg_E06_S438_comb,Mel80,T.cell,treatment.naive,Tirosh,4728,206107,4520,11678.838208294586
MGH00478_CD45pos_1_S217,Mel478,T.CD8,treatment.naive,New,4312,603820,4137,8322.33696133054
cy60_1_cd_45_pos_4_G10_S82_comb,Mel60,T.CD8,post.treatment,Tirosh,4004,140853,3822,12191.990183691958
cy98_CD45pos_CD8pos_S37,Mel98,T.CD8,post.treatment,New,5353,739766,5194,10231.296616370957
cy58_1_CD45_pos_H06_S666_comb,Mel58,T.CD8,post.treatment,Tirosh,3587,57162,3353,9919.95639897745
cy94_cd45pos_4_H11_S95_comb,Mel94,B.cell,post.treatment,Tirosh,4815,580949,4618,9117.07044835027
cy60_1_cd_45_pos_3_D05_S329_comb,Mel60,B.cell,post.treatment,Tirosh,2620,52981,2439,8510.394214321057
cy80_CD45_pos_PD1_pos_D12_S144_comb,Mel80,T.CD8,treatment.naive,Tirosh,3859,100513,3662,10699.802635445796
cy80_CD45_pos_PD1_pos_C06_S126_comb,Mel80,T.CD4,treatment.naive,Tirosh,3981,85886,3770,10715.941856093728
cy112_CD45pos_S88,Mel112,B.cell,treatment.naive,New,3868,1518187,3736,5788.433875033961
cy129PA_CD45pos_S85,Mel129pa,T.CD8,treatment.naive,New,3843,297508,3647,8846.849498693013
Cy81_Bulk_CD45_C08_S128_comb,Mel81,?,treatment.naive,Tirosh,3682,304999,3496,6597.785885051319
CY89A_CD45_POS_10_E10_S250_comb,Mel89,B.cell,treatment.naive,Tirosh,2358,27575,2218,7892.14861140766
CY94CD45POS_1_C05_S125_comb,Mel94,B.cell,post.treatment,Tirosh,5904,339468,5702,13615.29084559064
Merck_CD45pos_pl4_S51,Mel194,T.CD8,post.treatment,New,4709,1041919,4583,9110.709654777213
cy105_CD45pos_calceinpos_S71,Mel105,T.CD4,treatment.naive,New,4447,420630,4274,8904.589159188967
cy94_cd45neg_cd90pos_G08_S368_comb,Mel94,T.cell,post.treatment,Tirosh,9441,748883,9272,16574.66489036635
cy80_CD45_pos_PD1_pos_H07_S187_comb,Mel80,T.CD8,treatment.naive,Tirosh,2830,52535,2621,8239.767996443163
CY94CD45POS_1_D10_S142_comb,Mel94,T.CD4,post.treatment,Tirosh,3215,99006,2976,8312.706319369689
CY89COREQ1_F06_S354_comb,Mel89,Macrophage,treatment.naive,Tirosh,5854,377652,5646,12387.407777617527
CY84_PRIM_POS_ALL_8_G07_S175_comb,Mel84,?,treatment.naive,Tirosh,4121,242559,3917,10377.275481987654
cy129PB_CD45pos_S273,Mel129pb,Macrophage,treatment.naive,New,4715,2584591,4516,8222.708186751817
cy94_cd45pos_4_C11_S35_comb,Mel94,T.CD4,post.treatment,Tirosh,3308,124929,3072,8393.748868872397
cy80_CD45_pos_PD1_pos_G01_S169_comb,Mel80,T.CD4,treatment.naive,Tirosh,2515,34832,2354,8680.554648989357
cy58_1_CD45_pos_A02_S578_comb,Mel58,T.cell,post.treatment,Tirosh,5661,145600,5461,13340.661651578144
cy53_1_CD45_pos_2_G11_S1043_comb,Mel53,T.CD4,treatment.naive,Tirosh,5480,417953,5297,11945.84878677575
cy106_CD45pos_S321,Mel106,T.CD4,post.treatment,New,5340,1656194,5211,9155.02580205427
Cy72_CD45_H08_S764_comb,Mel72,T.CD4,post.treatment,Tirosh,3406,284178,3213,7074.051980149228
cy53_1_CD45_pos_2_E07_S1015_comb,Mel53,T.CD4,treatment.naive,Tirosh,4196,133230,3975,10765.452915929429
Cy72_CD45_E10_S730_comb,Mel72,T.cell,post.treatment,Tirosh,2537,37932,2324,8510.481195407712
Cy74_CD45_G10_S466_comb,Mel74,T.cell,post.treatment,Tirosh,2009,74994,1852,6841.817686640966
cy126_CD45pos_1_S39,Mel126,T.CD4,post.treatment,New,5201,1019715,5035,10485.365513522022
cy79_p3_CD45_pos_PD1_neg_G01_S169_comb,Mel79,B.cell,treatment.naive,Tirosh,3852,220332,3608,7747.599495433666
CY75_1_CD45_CD8_8__S353_comb_BCD8,Mel75,?,post.treatment,Tirosh,2156,118762,1987,5533.903607984952
cy126_CD45pos_2_S97,Mel126,Macrophage,post.treatment,New,5879,1421312,5724,12097.423925809915
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E09_S537_comb,Mel79,B.cell,treatment.naive,Tirosh,2477,17334,2318,9337.24024912087
cy82_CD45_pos_2_B03_S495_comb,Mel82,?,treatment.naive,Tirosh,9012,472872,8816,17771.893602771364
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_C07_S223_comb,Mel79,T.CD8,treatment.naive,Tirosh,2058,13302,1861,7777.055504915699
CY89A_Core_15_H06_S90_comb,Mel89,T.CD8,treatment.naive,Tirosh,4243,275763,4024,9396.219583788961
CY75_1_CD45_CD8_3__S175_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3557,151818,3378,9312.58753905693
cy98_CD45pos_CD8pos_S90,Mel98,T.CD8,post.treatment,New,4905,678123,4748,9928.321344234155
cy103_CD45pos_S133,Mel103,B.cell,treatment.naive,New,4841,667300,4682,8497.228241177047
cy75_1B_CD45pos_S87,Mel75,T.cell,post.treatment,New,3958,300084,3771,7730.531129084646
cy105_Zombineg_CD45neg_CD90neg_S104,Mel105,Endo.,treatment.naive,New,6288,878408,6148,11828.363929468753
cy105_CD45pos_calceinpos_S7,Mel105,T.cell,treatment.naive,New,4366,383401,4194,8403.899186152465
cy98_CD45pos_CD8pos_S79,Mel98,T.cell,post.treatment,New,6694,662046,6523,14075.879634621419
CY89COREQ1_E10_S346_comb,Mel89,?,treatment.naive,Tirosh,4195,178443,3958,10425.085460660077
cy103_CD45pos_S160,Mel103,T.CD8,treatment.naive,New,4393,357970,4200,8939.171965727737
cy116_CD45pos_S376,Mel116,T.CD8,treatment.naive,New,4259,416057,4048,8983.18274277134
cy103_CD45pos_S146,Mel103,T.CD8,treatment.naive,New,4551,330111,4354,9445.828114011245
cy80_CD45_neg_H07_S475_comb,Mel80,T.CD8,treatment.naive,Tirosh,3345,133717,3143,9691.589959974137
cy75_1CORE_CD45pos_S70,Mel75,T.CD8,post.treatment,New,4461,383151,4273,9348.104786549156
CY75_1_CD45_CD8_8__S376_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3280,114310,3074,9117.118758759854
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E05_S1013_comb,Mel60,B.cell,post.treatment,Tirosh,4432,31141,4229,15307.6725904329
Merck_CD45pos_pl4_S63,Mel194,T.CD8,post.treatment,New,5382,976757,5246,11622.481310583344
cy121.1_CD45pos_S351,Mel121.1,NK,post.treatment,New,4750,888464,4564,8512.236381831211
cy79_p4_CD45_pos_PD1_pos_D06_S330_comb,Mel79,T.CD4,treatment.naive,Tirosh,3602,182888,3388,8528.435216640944
monika_D1_S126_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4973,906281,4817,7544.893750285056
Cy71_CD45_D12_S528_comb,Mel71,T.CD8,treatment.naive,Tirosh,2955,104947,2713,7972.04625690832
cy106_CD45neg_CD90neg_S357_15,Mel106,CAF,post.treatment,New,3742,3538296,3595,8630.785475338776
cy110_CD45pos_S231,Mel110,Macrophage,post.treatment,New,6464,1526682,6273,10998.234644102464
CY94CD45POS_1_F07_S163_comb,Mel94,B.cell,post.treatment,Tirosh,2557,20179,2403,9288.702439239689
cy60_1_cd_45_pos_4_H07_S91_comb,Mel60,T.CD8,post.treatment,Tirosh,2955,94186,2729,8625.151300345387
CY75_1_CD45_CD8_7__S262_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5139,435763,4983,11219.271415580852
cy103_CD45pos_S173,Mel103,T.CD8,treatment.naive,New,4642,435380,4446,9464.678614635071
cy102_CD45pos_S224,Mel102,Macrophage,post.treatment,New,7216,638591,7009,13503.780726890462
cy121.1_CD45pos_S303,Mel121.1,T.CD4,post.treatment,New,4522,476741,4371,7820.339751222258
cy80_Cd45_pos_Pd1_neg_S194_A02_S194_comb,Mel80,T.CD4,treatment.naive,Tirosh,2923,44114,2709,9154.899360781837
cy60_1_cd_45_pos_3_B07_S307_comb,Mel60,T.CD4,post.treatment,Tirosh,3660,131072,3454,10904.307025195807
cy80_Cd45_pos_PD1_pos_A04_S16_comb,Mel80,T.CD4,treatment.naive,Tirosh,4460,135878,4249,11260.93216606295
CY84_PRIM_POS_ALL_8_E11_S155_comb,Mel84,?,treatment.naive,Tirosh,3262,262813,3029,5347.043814983214
cy80_Cd45_pos_PD1_pos_S110_E02_S110_comb,Mel80,T.cell,treatment.naive,Tirosh,4024,77908,3788,11645.958998823928
CY58_1_CD45_G12_S1044_comb,Mel58,?,post.treatment,Tirosh,2461,68975,2266,7023.713008281315
cy79_p5_CD45_pos_PD1_pos_E08_S632_comb,Mel79,T.CD8,treatment.naive,Tirosh,4213,43958,3986,12117.004100168913
cy112_CD45pos_S9,Mel112,T.cell,treatment.naive,New,4282,648236,4108,7218.668744062312
cy128_CD45pos_S187,Mel128,B.cell,treatment.naive,New,3793,842046,3596,5765.454955232541
CY94CD45POS_1_G05_S173_comb,Mel94,B.cell,post.treatment,Tirosh,9438,248048,9313,20826.726802684134
Cy71_CD45_D05_S521_comb,Mel71,T.CD8,treatment.naive,Tirosh,2088,30157,1941,7978.074948481297
cy80_Cd45_pos_PD1_pos_D06_S90_comb,Mel80,T.cell,treatment.naive,Tirosh,3907,68083,3696,10733.144403505277
cy112_CD45pos_S17,Mel112,T.CD4,treatment.naive,New,4506,1696212,4364,7016.498284670937
cy121.1_CD45pos_S310,Mel121.1,Macrophage,post.treatment,New,5802,1600038,5661,10472.969421540278
cy103_CD45pos_S110,Mel103,T.CD8,treatment.naive,New,6163,504537,5989,13366.141992708743
cy79_p5_CD45_pos_PD1_pos_E05_S629_comb,Mel79,T.CD8,treatment.naive,Tirosh,3360,61937,3187,9847.819858095758
cy53_1_CD45_pos_2_D03_S999_comb,Mel53,T.CD8,treatment.naive,Tirosh,5642,546750,5483,11755.217043363646
cy88_cd_45_pos_F02_S446_comb,Mel88,NK,post.treatment,Tirosh,3281,65479,3094,10526.751445310147
cy105_CD45neg_S276,Mel105,?,treatment.naive,New,2270,213475,2098,4030.793669262541
cy75_1B_CD45pos_S30,Mel75,T.CD8,post.treatment,New,4577,431333,4421,8655.077341797936
Merck_CD45pos_pl4_S44,Mel194,T.CD8,post.treatment,New,4641,853425,4509,9900.148318269381
cy75_1CORE_CD45pos_S15,Mel75,T.CD8,post.treatment,New,5357,577845,5184,10586.824699815026
cy105_Zombineg_CD45neg_CD90neg_S171,Mel105,Endo.,treatment.naive,New,6872,762166,6720,12826.720386067687
cy106_CD45pos_S355,Mel106,B.cell,post.treatment,New,4429,781643,4277,7432.161047907807
cy106_CD45pos_S242,Mel106,B.cell,post.treatment,New,4972,1274658,4847,8452.253467415121
cy105_CD45pos_S206,Mel105,B.cell,treatment.naive,New,4637,373915,4451,9461.56866758258
cy79_p4_CD45_pos_PD1_pos_H12_S384_comb,Mel79,T.cell,treatment.naive,Tirosh,2064,4200,1997,9038.993192989738
CY89A_CD45_POS_6_E04_S148_comb,Mel89,T.CD8,treatment.naive,Tirosh,3449,20173,3196,12577.186371676296
cy98_CD45pos_2_S365,Mel98,T.cell,post.treatment,New,4197,652246,4026,8371.55777311008
cy79_p5_CD45_neg_PDL1_pos_F04_S736_comb,Mel79,Endo.,treatment.naive,Tirosh,3369,49860,3165,8592.062211283097
Cy81_Bulk_CD45_G08_S176_comb,Mel81,CAF,treatment.naive,Tirosh,3296,275147,3086,5662.194389464867
cy04.3_CD45pos_S16,Mel04.3,T.CD8,post.treatment,New,4359,1135461,4195,8020.878336784435
cy60_1_cd_45_pos_3_C03_S315_comb,Mel60,T.CD8,post.treatment,Tirosh,3240,85331,3070,10105.42250874069
MGH00478_CD45pos_1_S272,Mel478,T.CD4,treatment.naive,New,3856,466989,3660,7741.694495928344
cy105_CD45pos_calceinpos_S26,Mel105,T.CD4,treatment.naive,New,3456,188125,3256,8075.778713334014
CY89A_CD45_POS_6_H09_S189_comb,Mel89,B.cell,treatment.naive,Tirosh,3016,36931,2771,8754.782154406073
cy103_CD45pos_S166,Mel103,B.cell,treatment.naive,New,6062,598102,5868,11373.272257503988
cy105_CD45pos_calceinpos_S45,Mel105,T.cell,treatment.naive,New,2893,115496,2709,7754.109377666113
cy129PA_CD45pos_S70,Mel129pa,Macrophage,treatment.naive,New,6305,1143380,6107,10754.244786257099
MGH00478_CD45pos_2_S382,Mel478,T.CD8,treatment.naive,New,2944,379438,2757,6175.484875340769
cy80_CD45_neg_C08_S416_comb,Mel80,?,treatment.naive,Tirosh,4735,176877,4519,11802.394563713595
cy110_CD45pos_S313,Mel110,Macrophage,post.treatment,New,7044,1003661,6862,12547.45808364877
cy126_CD45pos_1_S62,Mel126,T.CD4,post.treatment,New,4618,535959,4451,9395.439152288873
MGH00478_CD45pos_1_S267,Mel478,B.cell,treatment.naive,New,3749,456967,3556,6730.401880205832
Merck_CD45pos_pl4_S91,Mel194,Macrophage,post.treatment,New,5879,1102826,5729,12094.048804347189
Cy74_CD45_D09_S429_comb,Mel74,T.cell,post.treatment,Tirosh,2747,117030,2524,6796.434177480023
cy72_CD45_pos_D03_S903_comb,Mel72,T.CD8,post.treatment,Tirosh,3331,73077,3127,8953.382212871344
cy98_CD45pos_1_S231,Mel98,T.cell,post.treatment,New,4177,593510,3976,8624.183126120517
cy129PA_CD45neg_CD90neg_S157,Mel129pa,?,treatment.naive,New,2666,559606,2479,3490.6758971873223
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G04_S268_comb,Mel79,T.CD8,treatment.naive,Tirosh,3266,29268,3091,11069.764958613796
cy98_CD45pos_CD8pos_S52,Mel98,T.CD8,post.treatment,New,4514,1537321,4358,9242.000597978977
cy116_CD45pos_S291,Mel116,T.CD8,treatment.naive,New,4015,382122,3825,8039.924741630704
Cy81_FNA_CD45_A07_S199_comb,Mel81,T.cell,treatment.naive,Tirosh,2340,83258,2143,6527.966405574933
cy98_CD45pos_CD8pos_S93,Mel98,T.CD8,post.treatment,New,4647,267551,4466,10426.82550200406
cy110_CD45pos_S339,Mel110,Macrophage,post.treatment,New,5499,849101,5337,10274.256359453057
cy80_Cd45_pos_PD1_pos_S187_H07_S187_comb,Mel80,T.CD8,treatment.naive,Tirosh,5408,106512,5180,14368.898066893205
cy58_1_CD45_pos_E07_S631_comb,Mel58,T.cell,post.treatment,Tirosh,3978,94217,3745,10155.634845621615
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G06_S270_comb,Mel79,T.CD4,treatment.naive,Tirosh,3821,46494,3636,12128.35256607175
merck_cd45pos_PL3_S311,Mel194,T.cell,post.treatment,New,5698,1391570,5556,11073.598356920898
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_G05_S269_comb,Mel79,T.CD8,treatment.naive,Tirosh,3642,45897,3455,11567.955168226594
cy60_1_cd_45_pos_4_D10_S46_comb,Mel60,T.CD8,post.treatment,Tirosh,3207,43220,3047,11100.809396917153
cy102_CD45pos_S183,Mel102,T.CD8,post.treatment,New,5559,987539,5379,10870.777327830952
cy60_1_cd_45_pos_4_B08_S20_comb,Mel60,NK,post.treatment,Tirosh,3161,66485,2924,9999.624533094122
cy79_p5_CD45_pos_PD1_pos_D10_S622_comb,Mel79,T.CD8,treatment.naive,Tirosh,3237,76701,3048,10048.599493385287
cy79_p4_CD45_pos_PD1_pos_C07_S319_comb,Mel79,T.CD8,treatment.naive,Tirosh,4638,237320,4410,11865.19069598275
CY89FNA_D05_S233_comb,Mel89,?,treatment.naive,Tirosh,4054,113651,3821,11048.8636115622
cy105_CD45neg_S198,Mel105,?,treatment.naive,New,2138,289130,1975,4576.899507936761
Cy72_CD45_H04_S760_comb,Mel72,?,post.treatment,Tirosh,3076,167530,2839,7015.163554334691
cy128_CD45pos_S97,Mel128,B.cell,treatment.naive,New,5296,1114937,5145,9546.87612182218
